Date,High,Low,Open,volumefrom,volumeto,Close,High_Last_7_Days,Low_Last_7_Days,Days_Since_High_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_High_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,Low_Next_5_Days,%_Diff_From_High_Next_5_Days,%_Diff_From_Low_Next_5_Days
2019-05-11,7394.94,6357.02,6358.29,135248.42,933141315.95,7191.36,,,,,,,,,,
2019-05-12,7541.61,6793.21,7191.36,142892.25,1023203366.46,6977.63,,,,,,,,,,
2019-05-13,8127.75,6873.42,6977.63,149082.57,1140302646.6,7806.36,,,,,,,,,,
2019-05-14,8297.02,7631.34,7806.36,122383.06,976094121.29,7980.13,,,,,,,,,,
2019-05-15,8263.29,7849.92,7980.13,86162.62,694202804.31,8183.83,,,,,,,8352.25,6668.67,-2.016462629830286,22.720572467973373
2019-05-16,8352.25,7679.05,8183.83,95341.68,762104107.69,7874.11,,,,,,,8281.66,6668.67,-4.921114848955405,18.076168111482495
2019-05-17,7930.98,6668.67,7874.11,141482.93,1023961962.83,7371.96,8352.25,6357.02,6.0,6.0,-11.73683737914933,15.965656864379843,8281.66,7213.72,-10.98451276676415,2.1935977553883403
2019-05-18,7491.67,7213.72,7371.96,41327.89,303317486.98,7266.08,8352.25,6668.67,7.0,7.0,-13.004519740189771,8.958457983375993,8281.66,7257.26,-12.263000412960686,0.12153347131010477
2019-05-19,8281.66,7257.26,7266.08,91218.12,723011166.2,8193.14,8352.25,6668.67,8.0,8.0,-1.9049956598521427,22.860180515755005,8193.14,7478.74,0.0,9.552411235047611
2019-05-20,8193.14,7591.85,8193.14,80672.83,637617163.27,7998.29,8352.25,6668.67,9.0,9.0,-4.237899967074741,19.938308538284243,8165.45,7478.74,-2.047162128235429,6.947025835902842
2019-05-21,8102.32,7807.77,7998.29,45005.01,357803946.85,7947.93,8352.25,6668.67,10.0,10.0,-4.840851267622494,19.18313546779193,8779.0,7478.74,-9.466567946235331,6.273650374260913
2019-05-22,8033.76,7533.66,7947.93,54216.74,424501866.33,7626.89,8352.25,6668.67,11.0,11.0,-8.684605944505968,14.368982120872682,8931.53,7478.74,-14.607127782138113,1.9809486624752373
2019-05-23,7971.26,7478.74,7626.89,50121.07,386766321.19,7876.5,8281.66,6668.67,12.0,12.0,-4.892255900387118,18.11200734179379,8931.53,7801.57,-11.812421835900462,0.9604477047568668
2019-05-24,8165.45,7801.57,7876.5,51604.15,413162746.86,7996.4,8281.66,7213.72,13.0,13.0,-3.4444785224218357,10.849880505481213,8931.53,7894.53,-10.469986665218624,1.2903871414764387
2019-05-25,8140.82,7948.68,7996.4,22294.65,179206342.03,8059.13,8281.66,7257.26,14.0,14.0,-2.687021684058507,11.049211410366997,9065.89,7894.53,-11.104921855438345,2.0849879600178904
2019-05-26,8779.0,7894.53,8059.13,57648.95,483663699.62,8726.23,8779.0,7478.74,15.0,15.0,-0.6010935186239941,16.680483610875626,9065.89,8027.21,-3.746570937878133,8.708131467844986
2019-05-27,8931.53,8668.46,8726.23,57692.17,507164714.76,8785.17,8931.53,7478.74,16.0,16.0,-1.638689004011637,17.468584280239725,9065.89,8027.21,-3.0964417172500367,9.442384091110112
2019-05-28,8818.71,8562.2,8785.17,41445.13,360752199.95,8718.85,8931.53,7478.74,17.0,17.0,-2.3812269566356523,16.581803886750983,9065.89,8027.21,-3.8279749699146923,8.616194169580718
2019-05-29,8760.48,8444.1,8718.85,44056.71,380343928.72,8664.56,8931.53,7478.74,18.0,18.0,-2.9890735405916025,15.855879466327213,9065.89,8027.21,-4.426813032145768,7.939869518799178
2019-05-30,9065.89,8027.21,8664.56,95189.06,815525590.67,8276.25,9065.89,7801.57,19.0,19.0,-8.710010820779862,6.08441634183889,8819.9,7463.94,-6.16390208505765,10.883126070145265
2019-05-31,8570.78,8116.0,8276.25,60143.23,502056527.56,8550.67,9065.89,7894.53,20.0,20.0,-5.683060350390303,8.311324423366564,8819.9,7463.94,-3.052528940237413,14.559736546649631
